id,name,postal_code,latitude,longitude,city_id,category_id,stars,review_count,address,is_open,delivery,takeout,outdoor_seating,drivethrough,wheelchair_friendly,alcohol_beverage,dancing,catering,counter_service,seating,dogs_allowed,bike_parking,parking,breakfast,lunch,dinner,dessert,casual,romantic,formal,trendy,with_reservation,live_entertainment,groups,kids_friendly,wifi,bar_onsite,credit_cards
abcfinewines279451824919,ABC Fine Wine & Spirits,33609.0,27.9451178,-82.4919424,3,[48],4.0,43,3015 W Kennedy Blvd,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
abcfinewines279969825582,ABC Fine Wine & Spirits,33634.0,27.9969774,-82.5582685,3,[48],3.5,14,6943 W Hillsborough Ave,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
abcfinewines280696824308,ABC Fine Wine & Spirits,33612.0,28.069687,-82.4308719,3,[48],3.5,14,2330 E Fletcher Ave,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines280808825058,ABC Fine Wine & Spirits,33618.0,28.0808219844,-82.5058268286,3,[48],3.5,25,14729 Dale Mabry,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines281841823544,ABC Fine Wine & Spirits,33544.0,28.18412,-82.354455,50,[48],3.5,29,1845 Bruce B Downs Blvd,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcpizzahous278767823264,ABC Pizza House,33569.0,27.876723,-82.3264087,26,[26],2.5,14,7210 US Highway 301 S,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
abcpizzahous279955824743,ABC Pizza House,33603.0,27.99554,-82.4743805,3,[26],4.0,121,1242 W Hillsborough Ave,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
abcpizzahous279961825636,ABC Pizza House,33615.0,27.9961988,-82.5636833,3,[26],3.5,29,7512 W Hillsborough Ave,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
abcpizzahous280144821375,A B C Pizza House,33563.0,28.01447,-82.1375755,104,[26],3.5,29,114 N Alexander St,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
abcpizzaxxxx280136821380,Abc Pizza,33563.0,28.01366,-82.13801,104,[26],3.5,29,114 N Alexander St,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
abcpizzaxxxx280696824297,ABC Pizza,33613.0,28.0696515,-82.4297315,3,[26],3.0,21,13508 University Plz St,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
abcpizzaxxxx282445821897,ABC Pizza,33542.0,28.2445754,-82.1897379,201,"[48, 49, 26, 47]",3.0,9,5963 Gall Blvd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abcseafoodch278215826700,ABC Seafood Chinese Restaurant,33714.0,27.821559,-82.670032,5,"[1, 28]",4.0,245,"2705 54th Ave N, Ste 3",1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1
abellassandw279628824226,Abella's Sandwich Shop,33605.0,27.962867,-82.422641,3,"[48, 18, 52]",4.5,7,2124 N 34th St,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abesplacetap279521827879,Abe's Place Tap & Grill,33756.0,27.9521870933,-82.7879929097,21,[27],4.0,203,1250 S Missouri Ave,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
abovethesalt280250824650,Above The Salt Cafe,33604.0,28.0250508,-82.4650148,3,[18],5.0,41,428 W Waters Ave,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1
abuomarhalal280329824079,Abu Omar Halal,33617.0,28.0329339,-82.4079126,3,"[48, 49, 54]",4.0,16,4802 E Busch Blvd,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acapulcoloco279671827317,Acapulco Loco,33765.0,27.967192,-82.731746,21,[14],2.5,19,"2551 Drew St, Ste 104",0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
acapulcotaqu279524824926,Acapulco Taqueria,33607.0,27.952494,-82.4926884,3,"[48, 14]",4.5,303,1001 N Macdill Ave,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
acapulcotrop279669824969,Acapulco Tropical,33607.0,27.9669679,-82.4969263,3,[14],4.0,18,3247 W Columbus Dr,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
acedinerxxxx402308751398,Ace Diner,18976.0,40.2308487742,-75.139877179,249,[48],4.0,13,638 Easton Rd,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
aceliquorsxx279613827955,Ace Liquors,33756.0,27.9613039,-82.7955877,21,[48],2.5,5,800 Chestnut St,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acropolfamil279058827629,Acropol Family Restaurant,33771.0,27.9058877,-82.7629882,40,[49],4.0,91,1170 Starkey Rd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1
acropolinnre279912827313,Acropol Inn Restaurant,33765.0,27.9912391,-82.7313785,21,[49],4.0,87,2552 Sunset Pt Rd,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1
acropolisgre277714826406,Acropolis Greek Taverna,33701.0,27.7714485,-82.6406502,5,"[48, 49]",3.5,403,515 Central Ave,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
acropolisgre278928823166,Acropolis Greek Taverna,33578.0,27.8928112737,-82.3166707307,26,"[48, 49]",4.0,327,6108 Winthrop Town Center Ave,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
acropolisgre279450824924,Acropolis Greek Taverna,33609.0,27.9450256,-82.4924933,3,[49],3.5,231,3023 W Kennedy,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
acropolisgre279600824381,Acropolis Greek Taverna,33605.0,27.9600956474,-82.4381654995,3,[49],4.0,511,1833 E 7th Ave,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
acropolisgre280837824119,Acropolis Greek Taverna,33613.0,28.0837248258,-82.4119553563,3,"[48, 49]",3.5,332,14947 Bruce B Downs Blvd,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
acropolismea281460827549,Acropolis Meats,34689.0,28.1460698,-82.7549728,164,[48],4.0,24,148 E Tarpon Ave,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acupoforgani283352822698,A Cup Of Organic,33576.0,28.3352712043,-82.2698456621,728,[48],5.0,16,33024 State Rd 52,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
adaptfreshne282504827250,Adapt Freshness,34652.0,28.2504501165,-82.7250146493,562,[48],4.5,6,5413 Main St,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addictedtojo277562827119,Addicted To Joe,33707.0,27.7562312,-82.7119304,315,[48],4.5,6,1402 58th St,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
addictedtoth277852827828,Addicted To The Bean,33708.0,27.7852157,-82.7828377,534,[48],3.5,83,152 129th Ave W,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
admiralsclub279765825364,Admiral's Club,33607.0,27.9765139741,-82.5364422798,3,[48],3.5,26,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
adrianosrosi279161827585,Adriano's Rosie's Cafe,33771.0,27.9161751,-82.7585918,40,"[49, 19]",4.0,9,2745 E Bay Dr,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
adriaticcafe279418827446,Adriatic Cafe,33764.0,27.9418555,-82.7446055,21,[48],3.5,8,"2241 Nursery Rd, Ste A",0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
adryanaslati280163821228,Adryana's Latin & Italian Cuisine,33563.0,28.0163727,-82.1228016,104,"[19, 52]",4.0,9,115 E Reynolds St,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
adventhealth281958823808,AdventHealth Center Ice,33544.0,28.195802,-82.38088,50,[37],4.0,30,3173 Cypress Ridge Blvd,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
adventurecoa284352825669,Adventure Coast Fun Park,34608.0,28.4352625,-82.5669664,20,[37],4.5,10,9227 County Line Rd,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
aegeanxxxxxx281559827572,Aegean,34689.0,28.1559991,-82.7572,164,"[49, 28]",3.5,36,10 Dodecanese Blvd,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
affluentwell280889824588,Affluent Wellness and Vapor Lounge,33613.0,28.0889556484,-82.4588942528,3,[48],4.5,11,204 E Bearss Ave,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
afriendwhoba277409827081,A Friend Who Bakes,33707.0,27.7409092525,-82.7081760764,315,[48],5.0,20,"2901 Beach Blvd S, Ste 105",1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
agapépizzaxx396334861168,AGAPÉ PIZZA,46142.0,39.6334965446,-86.1168004222,844,[26],4.5,15,1201 Greenwood Park E Dr,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
agaverestaur277352827472,Agave Restaurant,33706.0,27.7352854,-82.7472304,364,[14],3.0,398,6400 Gulf Blvd,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
agorafoodmar281548827604,Agora Food Market,34689.0,28.1548879,-82.7604054,164,[48],4.5,11,602 Athens St,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
agreenorient280686824452,A-Green Oriental Market,33612.0,28.0686501,-82.445243,3,"[32, 48]",4.0,7,1321 E Fletcher Ave,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
aguilasandwi279958824946,Aguila Sandwich Shop,33614.0,27.9958661,-82.4946704,3,"[48, 18]",4.0,204,3200 W Hillsborough Ave,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
ahappyfamily402437747436,A Happy Family,8638.0,40.2437691,-74.7436624,659,[1],2.0,13,1342 Brunswick Ave,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
ahiasianbist280834825039,Ahi Asian Bistro,33618.0,28.0834122,-82.503964,3,"[2, 4]",4.5,153,14841 N Dale Mabry Hwy,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
airheadstram278857827447,AirHeads Trampoline Arena - St. Pete/Clearwater,33773.0,27.8857666,-82.7447806,40,[26],3.5,46,12401 Belcher Rd,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
airheadstram280383825305,AirHeads Trampoline Arena - Tampa,33624.0,28.038354,-82.530523,3,[26],3.5,90,5072 W Linebaugh Ave,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
airportvarie279064826967,Airport Variety Store,33762.0,27.9064013,-82.6967817,21,[48],4.0,13,4600 Roosevelt Blvd,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
airsideatpax279761825321,Airside A - TPA,33607.0,27.976195,-82.532198,3,[37],4.0,9,4100 George J Bean Pkwy,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
ajawiregrass281886823502,Aja Wiregrass,33543.0,28.1886894,-82.3502084,50,[37],3.0,5,"28211 Paseo Dr, Ste 190",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
ajsfinewinel278926822419,AJ's Fine Wine & Liquors,33596.0,27.8926136,-82.2419713,110,[48],4.0,6,"3443 Lithia Pinecrest Rd, Unit 7",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ajsontherive278566823561,Aj's On the River,33534.0,27.8566435,-82.3561872,219,[48],4.0,132,9808 Vaughn St,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
ajspressxxxx279738824969,AJ's Press,33614.0,27.9738115113,-82.4969815633,3,[37],5.0,376,3224 W Tampa Bay Blvd,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1
ajssportsbar278934827381,Aj's Sports Bar & Grill,33771.0,27.893495,-82.7381865,40,[37],3.5,7,7210 Ulmerton Rd,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
akiajapanese400965748590,Akia Japanese Fusion,19007.0,40.0965797,-74.8590969,786,"[2, 4]",4.0,23,407 Mill St,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
akirahibachi278521822678,Akira Hibachi & Sushi Bar,33569.0,27.8521439085,-82.2678940657,26,"[32, 2, 10, 28]",4.0,74,13420 Boyette Rd,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1
akisushixxxx280364826594,Aki Sushi,34677.0,28.0364465,-82.6594418,261,"[48, 10, 28]",4.0,156,3970 Tampa Rd,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
aladdinmedit280452827377,Aladdin Mediterranean Grocery,33761.0,28.0452988,-82.7377481,21,[48],5.0,13,30047 US 19,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aladinsgrill279643824345,Aladin's Grill,33605.0,27.96431,-82.43455,3,"[9, 54, 49]",5.0,15,2309 N 22nd St,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alafiabrewin278411823803,Alafia Brewing,33534.0,27.8411430791,-82.3803390563,219,[48],5.0,10,11106 US Hwy 41 S,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alandofdelig280624821494,A Land of Delight Natural Farm,33565.0,28.0624105,-82.1494774,104,[48],4.0,12,2514 Leaning Pine Ln,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alanspizzaxx279451825074,Alan's Pizza,33609.0,27.9451448812,-82.5074251369,3,"[48, 26, 27]",4.5,23,3841 W Kennedy Blvd,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
alaqsagrocer280460823930,Al-Aqsa Grocery,33617.0,28.046036,-82.393091,3,"[48, 54]",3.0,10,10805 N 56th St,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alatitarpons281551827576,Alati  - Tarpon Springs,34689.0,28.1551835,-82.7576679,164,[49],4.0,21,25 Dodecanese Blvd,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
albacoffeexx280858825048,Alba Coffee,33624.0,28.0858432,-82.5048005,3,[48],5.0,5,15000 N Dale Mabry Hwy,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
albanesecate284728825167,Albanese Catering,34609.0,28.4728259,-82.5167868,20,[48],2.5,6,13400 Linden Dr,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
albericosbri277454827521,Alberico's Brick Oven Kitchen,33706.0,27.7454353,-82.7521433,5,"[48, 26]",4.0,7,7863 Blind Pass Rd,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
albertsonsxx278922827854,Albertsons,33771.0,27.8922799,-82.7854205,40,[48],3.5,6,"10500 Ulmerton Rd, Ste 800",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldifoodstor277115823369,Aldi Food Store,33598.0,27.7115246803,-82.3369695831,296,[48],4.0,16,5000 Florida 674,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx277419826781,ALDI,33711.0,27.7419416061,-82.6781728864,5,[48],4.0,10,2900 34th St S,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx277928823411,ALDI,33578.0,27.7928897024,-82.3411282553,26,[48],4.0,7,10220 Big Bend Rd,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx278331827292,ALDI,33781.0,27.8331156546,-82.7292340994,76,[48],3.5,14,6700 66th St,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx278426827864,ALDI,33772.0,27.8426573454,-82.786471413,217,[48],3.5,16,7777 Seminole Blvd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx278543826925,ALDI,33782.0,27.8543135,-82.6925273,76,[48],4.0,18,9021 US Highway 19 N,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279212823164,ALDI,33511.0,27.9212340357,-82.3164220956,22,[48],3.5,23,"1945-A W Lumsden Rd, Ste A",1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279271827893,ALDI,33770.0,27.9271660379,-82.789327,40,[48],3.5,13,1177 N Missouri Ave,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279387822761,ALDI,33511.0,27.9387927608,-82.2761102318,22,[48],4.0,8,620 E Brandon Blvd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279789821230,ALDI,33566.0,27.9789727252,-82.123096,104,[48],4.0,5,3021 James L Redman Pkwy,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279969827302,Aldi,33763.0,27.9969308038,-82.7302908897,21,[48],3.5,17,2586 Hidden Cove Ln,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279969827304,ALDI,33763.0,27.996978345,-82.7304907219,21,[48],3.5,9,24756 US 19 N,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx279979825802,ALDI,33615.0,27.997903,-82.5802042,3,[48],3.5,30,8521 W Hillsborough Ave,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx280430825819,ALDI,33626.0,28.0430394,-82.581966668,151,[48],4.0,25,10419 Sheldon Rd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx280454826782,ALDI,34677.0,28.045449,-82.6782083,261,[48],4.0,19,"3705 Tampa Rd, Ste 13",1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx280700824299,ALDI,33613.0,28.0700987857,-82.4299371243,3,[48],4.0,23,13514 University Plz,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx280861824581,ALDI,33613.0,28.0861502474,-82.4581362925,3,[48],4.5,27,14933 N Florida Ave,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx281899826149,ALDI,33556.0,28.1899317862,-82.6149262117,376,[48],5.0,6,12134 State Rd 54,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx281903823958,ALDI,33559.0,28.1903759,-82.3958251,50,[48],4.0,20,2215 Sun Vista Dr,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx281975827409,ALDI,34691.0,28.197522332,-82.740907073,195,[48],4.0,13,2643 US Hwy 19,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx283071827023,ALDI,34668.0,28.3071835,-82.7023379,562,[48],3.5,16,6815 Cinema Dr,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx284522826327,ALDI,34607.0,28.4522294,-82.6327177,20,[48],3.5,6,1253 Wendy Ct,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx362616867115,ALDI,37115.0,36.2616696186,-86.7115143245,599,[48],3.5,6,135 S Gallatin Pike,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx395952860985,Aldi,46143.0,39.5952929,-86.0985941,844,[48],4.5,5,486 E Stop 18 Rd,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx396112861593,ALDI,46142.0,39.6112614782,-86.1593945139,844,[48],4.0,6,300 S State Rd 135,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldixxxxxxxx402460747619,ALDI,8638.0,40.2460660824,-74.7619065642,659,[48],3.5,10,1650 N Olden Ave,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aldosnewyork279669827317,Aldo’s New York Pizza,33765.0,27.96693,-82.731795,21,"[26, 27]",4.5,78,"2551 Drew St, Ste 201",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
