id,business_id,name,address,city,state,postal_code,latitude,longitude,categories,stars,review_count,is_open,delivery,takeout,outdoor_seating,drivethrough,wheelchair_friendly,alcohol_beverage,dancing,catering,counter_service,seating,dogs_allowed,bike_parking,parking,breakfast,lunch,dinner,dessert,casual,romantic,formal,trendy,with_reservation,live_entertainment,groups,kids_friendly,wifi,bar_onsite,credit_cards
dominospizza280420826746,EIlFs8kybcG-l60GJjNUIA,Domino's Pizza,"3800 Tampa Rd, Ste 180",oldsmar,FL,34677,28.0420037,-82.6746125,"['pizza', 'chicken wings', 'restaurants']",2.5,20,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
thesiloeater279464823555,z9wCTHYI2VZy9YIblwSsgg,The Silo Eatery Coffee Bakery,"9036 Brittany Way, Bldg 18",tampa,FL,33619,27.9464963776,-82.3555628732,"['restaurants', 'food']",4.0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
libertycityr401005748651,cl5NjtALgaX7E-WL2DtiYQ,Liberty City Roasters,222R US Hwy 13,bristol,FL,19007,40.100524,-74.865196,['food'],4.5,8,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
elsaborboric280535824534,Rz0KfP7YAZV_yQE8uIB0fg,El Sabor Boricua,11612 N Nebraska Ave,tampa,FL,33612,28.0535153,-82.4534422,"['puerto rican', 'caribbean', 'latin american', 'restaurants']",5.0,6,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
mosifoodtruc280536824044,wFXwmrlV8TiBS4Ac2-W_9g,MOSI Food Truck Rally,4801 East Fowler Ave,tampa,FL,33617,28.0536294,-82.4044188,['restaurants'],3.5,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
thecornercaf279444824578,516L9-ZWyqVgzqjP5uW7Jg,The Corner Cafe and Deli,"100 S Ashley Dr, Ste 220",tampa,FL,33602,27.9444574,-82.4578244,"['food', 'restaurants']",4.0,6,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1
thehiphopsan284934825469,OlD8UoHqrKnLoZUFxuas_w,The Hip Hop Sandwich Shop,10470 Northcliffe Blvd,spring hill,FL,34608,28.4934721999,-82.546930168,['restaurants'],2.5,5,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutrishopxxx279210823272,iONfxRWQqA8pAPMZFNLaug,Nutrishop,2940 Providence Lakes Blvd,brandon,FL,33511,27.9210171,-82.3272616,['food'],4.0,9,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thebricksxxx279600824444,dIpTuL2T1L98GQGU17IeSw,The Bricks,1327 E 7th Ave,tampa,FL,33605,27.9600238,-82.4444005,"['restaurants', 'food', 'vegetarian']",4.0,548,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
bigmikesbbqx280114825828,FW1PXpUq-yOs-5O_gqz3AQ,Big Mike's BBQ,6901 Sheldon Rd,tampa,FL,33615,28.0114997,-82.5828401,['restaurants'],4.5,32,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
dunkinxxxxxx278718827502,vxrGNnuEef7YCfB7mN08rA,Dunkin',8150 Bryan Dairy Rd,pinellas park,FL,33777,27.8718285,-82.7502853,['food'],2.0,8,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonesuchfarm403186750662,00szsg8vQy6yX5f-m9sI4A,None Such Farm Market,4458 York Rd,buckingham,FL,18912,40.31862,-75.066274,['food'],4.0,36,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
starbucksxxx279963825809,6_Zf2QsRHCH1RhbzA9inyw,Starbucks,8602 Hillsborough Ave,tampa,FL,33615,27.9963703,-82.580954,['food'],3.0,56,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
zigzagscallo284977826500,SFKjUQ1gmfwm7cJhMCFmkA,ZigZag Scallop,4417 Calienta St,hernando beach,FL,34607,28.497700000000002,-82.650015,"['seafood', 'restaurants']",4.0,214,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
auntieannesx280686825751,GJpAeUSsPIsVK6_0Lfuekg,Auntie Anne's,8094 Citrus Park Town Center Mall,tampa,FL,33625,28.0686496,-82.5751466,['food'],2.0,7,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bageliciousa279588822789,-H6s1c2NRic5UKxXqi4FdQ,Bagelicious and More,1232 Kingsway Rd,brandon,FL,33510,27.9588017985,-82.2789713027,"['food', 'restaurants']",3.5,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
snellgrovesr280148821231,3c9TiufCFT2yXXj3R08Vwg,Snellgroves Restaurant,109 S Collins St,plant city,FL,33563,28.0148425,-82.1231756,['restaurants'],3.5,64,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1
adventurecoa284352825669,nHUJCK-Ek_lAVTSyEz9GEQ,Adventure Coast Fun Park,9227 County Line Rd,spring hill,FL,34608,28.4352625,-82.5669664,['restaurants'],4.5,10,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
mcdonaldsxxx279253823253,A1lAqN3SOaBLoo6NqVcy4Q,McDonald's,11110 Causeway Blvd,brandon,FL,33511,27.925332,-82.325395,"['food', 'restaurants']",2.0,6,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
hippiehixxxx279684827621,epGYbd0_OeSxsSkw-Kx5Rg,Hippie Hi,1814 Drew St,clearwater,FL,33764,27.9684516983,-82.7621585038,"['vegan', 'gluten-free', 'restaurants', 'food']",4.0,16,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
pitakebobxxx277134823943,8JEOmVGQffkr6xtn4vvplQ,Pita Kebob,3028 E College Ave,ruskin,FL,33570,27.713401,-82.394372,"['mediterranean', 'middle eastern', 'lebanese', 'restaurants', 'greek', 'food']",4.0,142,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
tindrumasiac280451826812,O5zuQH_YowDC-rsK8ZEXCA,Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",tampa,FL,34677,28.0451503082,-82.6812278379,"['asian fusion', 'restaurants']",3.0,62,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
thejuicepodx399249753402,1o_M5JdOkJJFNj1rIDIlng,The Juice Pod,11 W Woodland Ave,springfield,FL,19064,39.9249328,-75.3402158,['food'],4.0,19,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
whitecastlex387061902701,aSJdDcspNCf-2oNF2E6SJQ,White Castle,5231 Jennings Station Rd,jennings,FL,63136,38.7061191433,-90.2701565031,['restaurants'],2.0,6,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caffeitalian281879823500,sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",wesley chapel,FL,33543,28.187946572,-82.3500558385,"['food', 'restaurants']",4.5,127,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1
dunkinxxxxxx278940822719,vMp55ea__Pk0fYbBDCn6jg,Dunkin',808 E Bloomingdale Ave,brandon,FL,33511,27.8940624,-82.2719595,['food'],2.0,23,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cvspharmacyx280439826769,feVi5a5xZaahs4WsUfi1tw,CVS Pharmacy,3771 Tampa Rd,oldsmar,FL,34677,28.0439,-82.6769,['food'],3.5,17,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kelpsushijoi279200824989,71U7MxQEhwitJOm4CQpRwQ,KELP Sushi Joint,"3401 W Bay To Bay Blvd, Ste D",tampa,FL,33629,27.920067,-82.4989209,"['japanese', 'food', 'restaurants', 'asian fusion', 'poke']",4.0,325,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1
hardeesxxxxx279955825124,_-SSObHzljeA11HAF0lIrQ,Hardee's,4116 W Hillsborough Ave,tampa,FL,33614,27.9955205,-82.512474,['restaurants'],2.5,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
oshucksseafo277852827821,L0-MS0MbQhEWAPLkjCqhpg,O'Shucks Seafood & Grill,"111 Boardwalk Pl W, Ste 203",madeira beach,FL,33708,27.7852179,-82.7821118,"['mexican', 'seafood', 'restaurants']",3.5,29,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
auntieannesx280173827345,q4m9o8LDJRrdU1DcgcAm3w,Auntie Anne's,27001 US Highway 19 N,clearwater,FL,33761,28.0173889,-82.734549,"['restaurants', 'food']",2.5,10,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sonnysbbqxxx279958825722,EjzWyITI75CKSKb6RGCG_Q,Sonny's BBQ,8106 W Hillsborough Avenue,tampa,FL,33615,27.9958415,-82.5722699,['restaurants'],3.0,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
gandolfosnew280642825053,lCBLhf37pnkyZ-1MWNF3ag,Gandolfo's New York Deli,12908 N Dale Mabry Hwy,tampa,FL,33618,28.0642084807,-82.5053286552,['restaurants'],2.5,23,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
tedsluncheon279278827961,gl9APAes1BYYt_8UsDVsPg,Ted's Luncheonette,1201 Clearwater Largo Rd N,largo,FL,33770,27.9278613,-82.7961982,['restaurants'],4.0,37,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1
thehummingbi281302823649,vVm2qH6n4tWzN_qv6PBIVw,The Humming Bird Jerk house,"17631 Bruce B Downs Blvd, Unit F",tampa,FL,33647,28.130283,-82.364992,"['restaurants', 'caribbean']",3.5,32,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whaleysblazi281379824626,jBCgQ6nZDsMCWU7eaSxOpw,Whaley's Blazin BBQ,18213 N US Highway 41,lutz,FL,33549,28.137927,-82.4626332,"['restaurants', 'food']",4.5,58,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
savealotxxxx282574827057,bA67-1nlrQpuPAowhGnvIw,Save A Lot,6536 Massachusetts Ave,new port richey,FL,34653,28.2574576,-82.7057537,['food'],3.0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dunkinxxxxxx278347823281,sZyBB8wv0O1We1x40-Edug,Dunkin',11404 S US Hwy 301,riverview,FL,33569,27.834780999,-82.3281975657,['food'],2.5,30,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
portofinosit279955825828,5cz1XbgalpQ89gsNQwneVQ,Portofino's Italian Kitchen,6742 Memorial Hwy,tampa,FL,33615,27.9955961525,-82.5828616138,"['restaurants', 'pizza', 'italian']",4.0,59,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
diomodernmed279491824583,rBE5TT_ndOOczNBrbRnJwA,Dio Modern Mediteranean,519 N Franklin St,tampa,FL,33602,27.9491200666,-82.458398826,"['greek', 'restaurants', 'mediterranean']",4.0,325,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1
terrasurcafe280819825391,oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",tampa,FL,33624,28.0819277157,-82.5391477434,"['latin american', 'restaurants', 'peruvian', 'seafood']",4.0,316,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1
meatdepotxxx280533824442,KwCZuRlaeciJsOXkCOtjDA,Meat Depot,1401 E Fowler Ave,tampa,FL,33612,28.0533777,-82.4442952,['food'],3.5,10,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tazamediterr279404822667,biGIDbCGsAZJ-Y4zyV_b_A,Taza Mediterranean Grill,1076 East Brandon Blvd,brandon,FL,33511,27.940439,-82.266787,"['vegan', 'restaurants', 'mediterranean', 'middle eastern']",4.5,65,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
smokinoutxxx282076827404,CjkxTRergWcYWb4SVW3gxw,Smokin' Out,3333 US Hwy 19,holiday,FL,34691,28.20766,-82.740475,['restaurants'],4.5,88,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
sawgrasstiki281551827601,U48gI6zzlDkvUDS9bsdvUg,Sawgrass Tiki Bar,610 Athens St,tarpon springs,FL,34689,28.155101,-82.760169,['karaoke'],3.0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
elranchomexi282867827152,3Kj0DlqXWTGqi6GUsM0Nfg,El Rancho Mexican Grill,10128 US Hwy 19,port richey,FL,34668,28.2867431,-82.7152898,"['mexican', 'restaurants']",2.5,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
tacobellxxxx279449825232,H2nFgEFitRk7ltE8IRH0xA,Taco Bell,4647 West Kennedy Blvd,tampa,FL,33609,27.944918,-82.523213,"['restaurants', 'tex-mex', 'mexican']",2.5,42,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
palodeazucar402071747499,koeubKPpi6ax4FDh7_zcWg,Palo De Azucar Cafe,862 S Broad St,trenton,FL,08611,40.2071578,-74.7499323386,"['restaurants', 'food']",5.0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beefobradysx281406824612,Ea2hPSFazxXITET4f6ZJhw,Beef 'O' Brady's,18421 N US Hwy 41,lutz,FL,33549,28.140648,-82.461204,"['chicken wings', 'restaurants']",3.0,46,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1
fuzzystacosh280533823928,_HcAoG6Jj_XTj4-XNEbo6Q,Fuzzy's Taco Shop,"5621 E Fowler Ave, Units 201-207",tampa,FL,33617,28.0533288743,-82.3928146398,"['mexican', 'tex-mex', 'restaurants']",3.0,172,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
orchidthaifo281184823816,q40E5X_HdjeM_Kl1BE7Gtg,Orchid Thai Foods,17022 Palm Pointe Dr,tampa,FL,33647,28.1184025,-82.3816714,"['asian fusion', 'restaurants', 'thai']",4.5,62,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
harvestbowle280027824590,QNxXsVPYcecUuhGRG-88OQ,Harvest Bowl Eatery & Market,6109 N Florida Ave,tampa,FL,33604,28.002703,-82.4590917,"['vegan', 'restaurants']",4.0,101,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
frostbeangel280104827897,j_eImSxsxnW0FCM1b5ekEQ,Frost & Bean Gelato & Coffee Laboratory,"730 Broadway, Ste 3",dunedin,FL,34698,28.0104187049,-82.7897292149,['food'],4.0,11,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
islandfinpok281690823566,hTyJhpH7Bl5moMWQb4Sosg,Island Fin Poké,"6417 E County Line Rd, Ste 101",tampa,FL,33647,28.169016,-82.356628,"['gluten-free', 'poke', 'food', 'restaurants', 'hawaiian']",5.0,88,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
wheelcafexxx280193827742,5QCLmv-JrdY0ZGc_D5__iw,Wheel Cafe,1140 Main St,dunedin,FL,34698,28.019385,-82.7742533,"['food', 'restaurants']",4.5,68,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1
